Show,Season,Episode
"Ada Twist, Scientist",Season 1,A Fort of One's Own/Twelve Angry Birds
"Ada Twist, Scientist",Season 1,Movie Night/The Banana Peel Problem
"Ada Twist, Scientist",Season 1,Cake Twist/Garden Party
"Ada Twist, Scientist",Season 1,Bird's Eye View/Sleeping Duty
"Ada Twist, Scientist",Season 1,Sight of Music/Rain Day
"Ada Twist, Scientist",Season 2,The Great Stink/Rosie's Rockin' Pet
"Ada Twist, Scientist",Season 2,The Curious Case of Little Liz/Cat on a Hot Twist Roof
"Ada Twist, Scientist",Season 2,Ada Twist Magicianist/Bend It Like Arthur
"Ada Twist, Scientist",Season 2,Oh Parachute/Meltdown
"Ada Twist, Scientist",Season 2,Show Me the Bunny/A Kite Above the Rest
"Ada Twist, Scientist",Season 2,Skate On/Ada's Cure for the Common Conundrum
"Ada Twist, Scientist",Season 2,Mind Over Muscle/Iggy Gettin' Diggy With It
"Ada Twist, Scientist",Season 3,"Ready, Set, Rosie/A Wheel with a Twist"
"Ada Twist, Scientist",Season 3,The Whiz Kid Quiz/Glitter-tastrophe
"Ada Twist, Scientist",Season 3,DadBot/Into the Brainstorm
"Ada Twist, Scientist",Season 3,Ice Creamed/Pitch Perfect
"Ada Twist, Scientist",Season 3,Slow Your Roll/The Amazing Spider-Twist
"Ada Twist, Scientist",Season 3,Ghost Busted/A Cold Blooded Complication
"Ada Twist, Scientist",Season 3,The Giggle Bug/Dance Dance Twist Solution
"Ada Twist, Scientist",Season 3,Bee the Change/Battle of the Boogie Bots
